lookback,split,well,model,RMSE,MAE,R2,NSE
44,selection,裂隙水2,Persistence,0.07546216147928736,0.045714285714285936,0.9565690851833728,0.9565690851833728
44,selection,裂隙水2,LSTM,0.06558234786660942,0.03762424596434577,0.9671969355678162,0.9671969355678162
44,selection,裂隙水2,Transformer,0.05886588635309744,0.03525109027888834,0.9735717825601916,0.9735717825601916
44,selection,裂隙水2,TCN,0.07513046247847636,0.05120400775567848,0.9569500530622788,0.9569500530622788
44,selection,裂隙水2,Stacking,0.061995828887357496,0.03732823105838167,0.970686651053955,0.970686651053955
44,selection,裂隙水3,Persistence,0.1259051263465319,0.09100840336134429,0.958885433964741,0.958885433964741
44,selection,裂隙水3,LSTM,0.12294383473152923,0.08562128474854366,0.9607967209086723,0.9607967209086723
44,selection,裂隙水3,Transformer,0.11017457885945707,0.07750015926618199,0.9685173209138704,0.9685173209138704
44,selection,裂隙水3,TCN,0.14328483496613936,0.10366829806932575,0.9467512594889447,0.9467512594889447
44,selection,裂隙水3,Stacking,0.1283702288916374,0.08413289007845372,0.9572597049974252,0.9572597049974252
44,selection,岩溶水1,Persistence,0.8722429757775496,0.4142485714285724,0.8854057408062094,0.8854057408062094
44,selection,岩溶水1,LSTM,0.8149646822845221,0.4078142454920158,0.8999618903379523,0.8999618903379523
44,selection,岩溶水1,Transformer,0.8407844735942507,0.4165638903605125,0.8935226420677056,0.8935226420677056
44,selection,岩溶水1,TCN,0.8591871302657018,0.4396752821071457,0.8888105898909666,0.8888105898909666
44,selection,岩溶水1,Stacking,0.8400404230064082,0.4174268020617456,0.893711012544199,0.893711012544199
44,selection,岩溶水2,Persistence,0.17896591067222264,0.10655819327731152,0.8362858702562652,0.8362858702562652
44,selection,岩溶水2,LSTM,0.1594845146580397,0.10488708927670132,0.8699882582005277,0.8699882582005277
44,selection,岩溶水2,Transformer,0.15375045991610758,0.10482012178534515,0.8791689966925762,0.8791689966925762
44,selection,岩溶水2,TCN,0.16742525756366344,0.11409429624347468,0.8567193688420597,0.8567193688420597
44,selection,岩溶水2,Stacking,0.1800394868500263,0.11939388505342305,0.8343158105941677,0.8343158105941677
44,selection,岩溶水3,Persistence,0.12444468807432571,0.07507848739495959,0.9046789577481706,0.9046789577481706
44,selection,岩溶水3,LSTM,0.10786712598782547,0.05750105523111606,0.9283833057643316,0.9283833057643316
44,selection,岩溶水3,Transformer,0.11314610997358109,0.06469547319405623,0.9212019790852041,0.9212019790852041
44,selection,岩溶水3,TCN,0.12549288461105057,0.07099919954051609,0.9030664183895938,0.9030664183895938
44,selection,岩溶水3,Stacking,0.11313991121015904,0.0632412441627016,0.9212106128227652,0.9212106128227652
